_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67164db150538de2c2e9e558,,63.16,95.74,75.15,70.6,79;0;1;2,time,15,-1,1,15.01,0,1.47,false,false,english,none,normal,false,false,false,,1729514929000
67164d9a50538de2c2e9e3fc,,62.35,86.79,83.13,75.51,78;6;2;2,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729514906000
67164d8850538de2c2e9e2c3,,28.79,78.13,51.17,42.57,36;5;5;2,time,15,-1,1,15.01,1,2,false,false,english,none,normal,false,false,false,,1729514888000
67164d7250538de2c2e9e17a,,57.57,90.36,59.97,53,72;0;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729514866000
67164d6150538de2c2e9e064,,67.96,100,67.96,75.46,85;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729514849000
67164d4f50538de2c2e9df7c,,65.59,95.35,65.59,58.04,82;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729514831000
67164d3b50538de2c2e9de4e,,78.38,98.02,78.38,70.07,98;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729514811000
67164b4450538de2c2e9c0d6,,71.14,91.07,89.53,81.14,89;5;2;0,time,15,-1,4,15.01,0,7.09,false,false,english,none,normal,false,false,false,,1729514308000
67164b2650538de2c2e9bf3e,,58.4,89.13,73.6,73.47,73;6;1;1,time,15,-1,1,15,0,0.15,false,false,english,none,normal,false,false,false,,1729514278000
67164b0f50538de2c2e9be11,,59.15,88.17,71.94,71.03,74;6;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729514255000
67164afc50538de2c2e9bcf6,,71.2,96.84,75.2,73.79,89;1;0;1,time,15,-1,2,15,0,2.18,false,false,english,none,normal,false,false,false,,1729514236000
67164acc50538de2c2e9ba38,,58.39,96.1,58.39,52.43,73;0;0;0,time,15,-1,3,15,0,4.65,false,false,english,none,normal,false,false,false,,1729514188000
67164ab450538de2c2e9b8bf,,55.99,86.32,74.39,75.77,70;6;2;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729514164000
67164a9f50538de2c2e9b7a1,,70.36,97.78,70.36,76.43,88;0;0;0,time,15,-1,3,15.01,0,12.9,false,false,english,none,normal,false,false,false,,1729514143000
67164a5950538de2c2e9b353,true,91.2,100,91.2,84.96,114;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729514073000
67164a4450538de2c2e9b29e,,66.4,88.89,79.2,69.8,83;9;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729514052000
67164a0f50538de2c2e9b043,,76.79,91.59,83.99,64.97,96;4;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729513999000
67164a0050538de2c2e9af2f,,72.74,90,85.53,70.27,91;4;1;1,time,15,-1,1,15.01,0,1.52,false,false,english,none,normal,false,false,false,,1729513984000
671649c050538de2c2e9ab88,,71.99,85.71,89.59,80.52,90;12;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729513920000
6716496450538de2c2e9a62f,,69.6,91.18,80,66.39,87;3;1;1,time,15,-1,1,15,0,1.26,false,false,english,none,normal,false,false,false,,1729513828000
6716491250538de2c2e9a16d,,64.75,93.75,76.74,72.17,81;3;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729513746000
6716490050538de2c2e9a05e,,63.97,92.31,70.37,60.34,80;3;0;0,time,15,-1,1,15.01,0,8.12,false,false,english,none,normal,false,false,false,,1729513728000
671648e250538de2c2e99ea4,,51.2,84.21,73.6,59.8,64;9;0;4,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729513698000
671648b750538de2c2e99c39,,61.58,82.69,81.57,66.5,77;8;3;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729513655000
6716488650538de2c2e9996d,,69.59,91.43,80.79,62.4,87;2;2;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729513606000
6716484c50538de2c2e99621,,27.99,95.24,33.59,4.41,35;1;0;0,time,15,-1,0,15,7,0,false,false,english,none,normal,false,false,false,,1729513548000
6714b6c2da330b33d221a4d8,,65.54,91,77.53,70.17,82;4;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729410754000
6714b64dda330b33d221a0c4,,62.4,93.1,66.4,61.11,78;1;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729410637000
6714b61dda330b33d2219f1f,,57.59,84.95,71.98,67.11,72;7;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729410589000
6714b60bda330b33d2219e86,,67.99,91.75,74.39,64.36,85;1;2;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729410571000
6714b5fada330b33d2219df7,,51.16,90.79,57.55,57.72,64;2;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729410554000
6714b5e8da330b33d2219d6a,,66.4,87.88,77.6,56.9,83;7;0;2,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729410536000
6714b5abda330b33d2219b57,,55.96,86.52,65.56,55.47,70;4;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729410475000
6714b591da330b33d2219a62,,55.17,84.44,67.16,65.05,69;4;1;1,time,15,-1,1,15.01,0,0.91,false,false,english,none,normal,false,false,false,,1729410449000
6714b57dda330b33d22199a2,,62.37,87.63,74.36,70.73,78;6;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729410429000
6714b55eda330b33d221987e,,40.78,90.16,47.97,32.22,51;3;0;1,time,15,-1,0,15.01,3,0,false,false,english,none,normal,false,false,false,,1729410398000
6714b3bbda330b33d2218ab0,true,89.58,97.46,94.38,82.1,112;2;0;1,time,15,-1,1,15,0,0.07,false,false,english,none,normal,false,false,false,,1729409979000
6714b3a5da330b33d22189f7,,77.58,93.4,83.18,79.03,97;4;0;0,time,15,-1,1,15,0,0.01,false,false,english,none,normal,false,false,false,,1729409957000
6714b392da330b33d2218955,,63.14,87.61,90.32,76.32,79;9;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729409938000
6714b381da330b33d22188be,,68,89.11,78.4,73.18,85;6;1;0,time,15,-1,11,15,0,34.02,false,false,english,none,normal,false,false,false,,1729409920000
6714b334da330b33d2218646,,63.14,87.5,83.12,72.4,79;8;0;4,time,15,-1,3,15.01,0,8.67,false,false,english,none,normal,false,false,false,,1729409844000
6714b310da330b33d2218504,,85.56,99.08,85.56,79.61,107;0;0;0,time,15,-1,1,15.01,0,9.41,false,false,english,none,normal,false,false,false,,1729409808000
6714b2f4da330b33d2218423,,72.76,92.52,83.95,83.13,91;2;1;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729409780000
6714b2bdda330b33d2218248,true,85.58,99.07,85.58,75.05,107;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729409725000
6714b2aada330b33d22181a9,,66.34,90.32,72.74,71.03,83;4;1;1,time,15,-1,1,15.01,0,6.7,false,false,english,none,normal,false,false,false,,1729409706000
6714b28cda330b33d22180bf,,55.16,87.23,75.14,69.47,69;6;1;4,time,15,-1,1,15.01,0,2.86,false,false,english,none,normal,false,false,false,,1729409676000
6714b275da330b33d2218006,,58.39,94.19,68.79,74.16,73;2;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729409653000
6714b263da330b33d2217f76,,57.58,83.33,81.58,79.77,72;11;0;4,time,15,-1,1,15,0,3.49,false,false,english,none,normal,false,false,false,,1729409635000
67131ef2da330b33d213d268,,24.78,89.74,29.58,51.84,31;1;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729306354000
670e573e3b43e6c05d058d09,,47.19,79.38,75.99,57.45,59;8;5;2,time,15,-1,7,15,0,17.67,false,false,english,none,normal,false,false,false,,1728993086000
670e56f93b43e6c05d058950,,69.58,94,79.97,75.1,87;3;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728993017000
670e56e83b43e6c05d058867,,70.38,93.33,83.97,81.19,88;4;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728993000000
670e56d73b43e6c05d058785,,56.74,83.18,84.71,81.64,71;10;2;0,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1728992983000
670e56c53b43e6c05d058695,,50.35,86.59,64.74,61.72,63;7;0;2,time,15,-1,4,15.01,0,11.23,false,false,english,none,normal,false,false,false,,1728992965000
670e568e3b43e6c05d058394,,75.16,95.15,79.96,65.6,94;2;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728992910000
670e567e3b43e6c05d05828d,,71.99,97.85,71.99,67.11,90;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1728992894000
670e566c3b43e6c05d05818e,,66.4,93.41,70.4,74.14,83;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1728992876000
670e565b3b43e6c05d058078,,51.98,82.61,71.98,64.36,65;9;1;1,time,15,-1,4,15.01,0,16.67,false,false,english,none,normal,false,false,false,,1728992859000
670e562c3b43e6c05d057df8,,72.79,92.38,82.38,71.91,91;3;1;0,time,15,-1,2,15,0,4.16,false,false,english,none,normal,false,false,false,,1728992812000
670e56103b43e6c05d057c87,,83.96,100,83.96,79.8,105;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728992784000
670e55fa3b43e6c05d057b64,,74.39,98.95,74.39,70.23,93;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1728992762000
670e55e83b43e6c05d057a69,,60.77,89.36,73.56,63.87,76;4;2;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728992744000
670e55d73b43e6c05d057975,,62.38,83.51,73.58,70.2,78;6;2;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1728992727000
670e55a53b43e6c05d0576e6,,58.39,92.13,67.99,59.92,73;2;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1728992677000
670e55933b43e6c05d0575ef,,30.4,92.68,30.4,54.82,38;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1728992659000
670e55813b43e6c05d05750f,,51.19,94.12,51.19,42.28,64;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1728992641000
670e556e3b43e6c05d057402,,61.58,97.62,66.38,68.87,77;0;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1728992622000
670e555c3b43e6c05d057317,,49.56,92.75,52.76,56.71,62;2;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728992604000
670e554a3b43e6c05d057232,,55.98,86.17,72.77,70.03,70;5;3;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728992586000
670e55393b43e6c05d05713f,,46.4,84.15,64,48.03,58;5;2;2,time,15,-1,0,15,2,0,false,false,english,none,normal,false,false,false,,1728992569000
670e55233b43e6c05d05702b,,65.56,86.11,83.94,72.6,82;7;1;2,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728992547000
670cd19d3b43e6c05df3d850,,63.19,88.66,76.78,77.51,79;6;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1728893341000
670cd18b3b43e6c05df3d779,,53.56,83.02,84.74,73.93,67;10;0;5,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728893323000
670b72d63b43e6c05de64f9c,,73.58,96.94,77.57,70.5,92;1;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1728803542000
